ODL ;WYS ;SPA ;SMP;pH;TWA ;FOS ;AZO ;AMO ;TLR;BZT;GLOW;PSTR ;STRZ ;SLIZ ;LIPI ;JEL1;SWI1;SWI2;JEL2 ;KLEN ;BRZA ;PIEK ;KIEL;SZCZ ;OKON ;ROZA ;BASS   ;WZDR ;KARP ;LINN ;LESZ ;SUMI ;JAZG ;PLOC;KRAP ;UKLE ;WEGO ;X;Y;BIEG;KRAJ
0,3;934;6,176;84;7,9;45;1;20;0;122;27;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;7;spring;Szwajcaria
2,2;932;3,434;100;8;40;2;20;10;103;19;0;5;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;14;spring;Szwajcaria
10,2;914;3,638;180;8,3;52;5;22;5;105;35;0;5;5;5;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;102;18;spring;Szwajcaria
18,5;854;3,497;253;8;72;10;21;0;110;13;0;4;5;5;0;0;0;0;0;1;0;0;1;2;2;0;0;0;0;1;0;0;0;0;0;0;0;100;28;spring;Szwajcaria
21,5;849;3,178;264;8,1;84;38;52;20;80;62;0;2;3;2;0;0;0;0;5;2;0;0;2;4;4;0;0;2;0;3;0;0;0;5;0;0;0;106;39;upper;Szwajcaria
32,4;846;3,497;286;7,9;60;20;15;0;102;53;0;3;4;5;0;0;0;0;1;2;0;0;1;1;1;0;0;0;0;2;0;0;0;1;0;0;0;112;51;upper;Szwajcaria
36,8;841;4,205;400;8,1;88;7;15;0;111;22;0;5;4;5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;61;upper;Szwajcaria
49,1;792;3,258;130;8,1;94;20;41;12;70;81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;76;upper;Szwajcaria
70,5;752;2,565;480;8;90;30;82;12;72;52;0;0;1;3;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;136;100;middle;Szwajcaria
99;617;4,605;1000;7,7;82;6;75;1;100;43;0;1;4;4;0;0;0;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;168;112;middle;Szwajcaria
123,4;483;3,738;1990;8,1;96;30;160;0;115;27;1;3;4;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;186;130;middle;Szwajcaria
132,4;477;2,833;2000;7,9;86;4;50;0;122;30;2;5;4;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;205;145;middle;Szwajcaria
143,6;450;3,091;2110;8,1;98;6;52;0;124;24;2;5;5;2;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;222;167;middle;Szwajcaria
152,2;434;2,565;2120;8,3;98;27;123;0;123;38;3;5;5;4;4;3;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;228;182;middle;Szwajcaria
164,5;415;1,792;2300;8,6;86;40;100;0;117;21;3;4;4;5;2;4;0;0;3;3;2;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;252;190;middle;Szwajcaria
185,9;375;3,045;1610;8;88;20;200;5;103;27;2;3;3;5;0;5;0;4;5;2;2;1;2;1;1;0;1;0;1;1;0;0;0;1;0;0;0;266;209;middle;Szwajcaria
198,5;348;1,792;2430;8;92;20;250;20;102;46;1;2;4;4;1;2;1;4;3;2;3;4;1;1;2;1;1;0;1;1;0;0;0;2;0;2;1;245;203;middle;Francja
211;332;2,197;2500;8;90;50;220;20;103;28;1;1;3;3;1;1;1;3;2;3;3;3;2;1;3;2;1;0;1;1;0;0;1;2;0;2;1;225;200;middle;Francja
224,6;310;1,792;2590;8,1;84;60;220;15;106;33;0;0;3;5;0;1;2;3;2;1;2;2;4;1;1;2;1;1;1;2;1;0;1;5;1;3;1;206;194;middle;Francja
247,7;286;2,197;2680;8;86;30;300;30;103;28;0;0;1;2;0;0;2;2;2;3;4;3;4;2;2;3;2;2;1;4;1;0;2;5;2;5;2;189;193;middle;Francja
281,2;262;2,398;2720;7,9;85;20;220;10;90;41;0;0;1;1;0;0;2;2;2;2;4;2;5;3;3;3;2;2;2;4;3;1;3;5;3;5;2;187;201;middle;Francja
294;254;2,708;2790;8,1;88;20;162;7;91;48;0;0;0;1;0;0;3;2;3;4;5;1;5;3;4;3;3;2;3;4;4;2;4;5;4;5;2;192;212;lower;Francja
304,3;246;2,565;2880;8,1;97;260;350;115;63;164;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;192;228;lower;Francja
314,7;241;1,386;2976;8;99;140;250;60;52;123;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;2;2;1;5;0;179;233;lower;Francja
327,8;231;1,792;3870;7,9;100;422;620;180;41;167;0;0;0;0;0;0;0;0;1;1;0;0;2;1;0;0;0;1;0;0;0;0;1;1;0;3;0;145;217;lower;Francja
357,9;214;1,792;3910;7,9;94;143;300;30;62;89;0;0;0;1;0;0;1;0;1;2;2;1;3;2;1;2;2;1;1;3;2;1;4;4;2;5;2;91;187;lower;Francja
373,2;206;2,565;3960;8,1;90;58;300;26;72;63;0;0;0;1;0;0;1;1;2;3;4;1;4;4;1;3;3;1;2;5;3;2;5;5;4;5;3;65;174;lower;Francja
394,7;195;1,386;4320;8,3;100;74;400;30;81;45;0;0;0;1;0;0;1;1;2;4;3;1;4;3;2;4;4;2;4;4;3;3;5;5;5;5;4;49;164;lower;Francja
422;183;1,946;6770;7,8;110;45;162;10;90;42;0;1;1;1;1;1;2;2;3;4;5;3;5;5;4;5;5;2;3;3;4;4;5;5;4;5;4;27;151;lower;Francja
453;172;1,099;6900;8,2;109;65;160;10;82;44;0;0;0;0;0;0;1;2;3;3;3;5;5;4;5;5;3;5;5;5;5;5;5;5;5;5;5;8;133;lower;Francja
